Wanna insert[i] stuff or just fetch[f]
Connecting to the PostgreSQL database...
('02.01.17', 109.3, 110.8, 110.3, 2330417)
('03.01.17', 110.11, 112.09, 110.68, 882614)
('04.01.17', 110.53, 111.7, 111.03, 449615)
('05.01.17', 109.4, 110.73, 110.0, 746100)
('06.01.17', 109.8, 112.0, 111.61, 700163)
('09.01.17', 111.6, 113.1, 112.46, 1297576)
('10.01.17', 111.8, 112.9, 112.75, 1691504)
('11.01.17', 111.83, 113.86, 112.17, 1521071)
('12.01.17', 110.94, 112.6, 111.76, 1073743)
('13.01.17', 111.6, 112.5, 111.76, 1149538)
('16.01.17', 111.72, 112.45, 112.0, 861942)
('17.01.17', 110.0, 112.29, 112.08, 848050)
('18.01.17', 112.0, 112.7, 112.35, 528968)
('19.01.17', 111.99, 113.09, 112.71, 778900)
('20.01.17', 112.14, 113.1, 112.14, 610841)
('23.01.17', 111.04, 112.5, 111.74, 366744)
('24.01.17', 110.9, 111.73, 111.51, 734456)
('25.01.17', 111.7, 113.65, 113.65, 1221101)
('26.01.17', 113.2, 114.38, 114.0, 1302214)
('27.01.17', 113.7, 114.46, 114.03, 739897)
('30.01.17', 112.9, 113.99, 113.35, 1268146)
('31.01.17', 111.78, 113.5, 111.91, 988174)
('Emilio', 42.0, 30.0, 69.0, 420)
('lenny', 1.0, 2.0, 3.0, 4)
('lenny', 1.0, 2.0, 3.0, 4)
Database connection closed.
